User,Text,emoji_pos,emoji_neg,emoji_neu,num_emoji_pos,num_emoji_neg,num_emoji_neu,cleaned_text,tokenized,label
@tinhthuonglon6545,"đây là set hay nhất của anh Phương Nam từ trước đến nay, quá đỉnh",,,,0,0,0,set phương nam đỉnh,"['đây', 'là', 'set', 'hay', 'nhất', 'của', 'anh', 'phương', 'nam', 'từ', 'trước', 'đến', 'nay', 'quá', 'đỉnh']",2
@thunguyen-ke4qq,Nam co duyen ghe ak!,,,,0,0,0,nam co_duyen ghe ak,"['nam', 'co_duyen', 'ghe', 'ak']",2
@ng.vaan_9999,qua với nay coi 20 lần rồi mà k biết cuốn chỗ nào😂❤,😂❤,,,2,0,0,coi 20 không_biết chỗ,"['qua', 'với', 'nay', 'coi', '20', 'lần', 'rồi', 'mà', 'không_biết', 'cuốn', 'chỗ', 'nào']",1
@anhtran1885,chương trình của nhóm diễn ở sân khấu nào á mọi người ?,,,,0,0,0,chương_trình diễn sân_khấu,"['chương_trình', 'của', 'nhóm', 'diễn', 'ở', 'sân_khấu', 'nào', 'á', 'mọi', 'người']",2
@Suong_Nho,Ông áo đen khúc cuối cười mà bẹo dạng luôn 😔😔,,😔😔,,0,2,0,áo đen_khúc cười bẹo dạng,"['ông', 'áo', 'đen_khúc', 'cuối', 'cười', 'mà', 'bẹo', 'dạng', 'luôn']",0
@hungngoc2264,.,,,,0,0,0,,[],2
@PhúTriệu-t7t,"Thề luôn mình cứ sợ nam sẽ hết hài, nhưng nam vẫn hài như ngày nào",,,,0,0,0,thề sợ nam hài nam hài,"['thề', 'luôn', 'mình', 'cứ', 'sợ', 'nam', 'sẽ', 'hết', 'hài', 'nhưng', 'nam', 'vẫn', 'hài', 'như', 'ngày', 'nào']",2
@alexandernguyen2604,Mình rất muốn đi xem show của sg tếu nhưng mà đến lúc làm thế nào để đi xem thì mình đi lính rồi,,,,0,0,0,đi show sg_tếu nhưng_mà thế_nào đi đi lính,"['mình', 'rất', 'muốn', 'đi', 'xem', 'show', 'của', 'sg_tếu', 'nhưng_mà', 'đến', 'lúc', 'làm', 'thế_nào', 'để', 'đi', 'xem', 'thì', 'mình', 'đi', 'lính', 'rồi']",2
@khoaao4526,Maaaaaaaa anh Nammmmmmmmmm😂,😂,,,1,0,0,maaaaaaaa nammmmmmmmmm,"['maaaaaaaa', 'anh', 'nammmmmmmmmm']",1
@tienthanhnguyen4488,set này anh Nam diễn quá đỉnh,,,,0,0,0,set nam diễn đỉnh,"['set', 'này', 'anh', 'nam', 'diễn', 'quá', 'đỉnh']",2
@BaoCypher0912,10 điểm anh ơi 😂,😂,,,1,0,0,10,"['10', 'điểm', 'anh', 'ơi']",1
@lanchininh2909,Chồng tui hắt xì 1 cái cả xóm nghe,,,,0,0,0,chồng tui hắt_xì 1 xóm,"['chồng', 'tui', 'hắt_xì', '1', 'cái', 'cả', 'xóm', 'nghe']",2
@Glonk01_de,tốn cái lều,,,,0,0,0,tốn lều,"['tốn', 'cái', 'lều']",2
@nhatthanhnguyen1820,Cười sặc cơm khi coi Nam,,,,0,0,0,cười sặc_cơm coi nam,"['cười', 'sặc_cơm', 'khi', 'coi', 'nam']",2
@phamhonghanh5307,Nam đẹp trai hơn trc nhiều á😂😂,😂😂,,,2,0,0,nam đẹp_trai trc,"['nam', 'đẹp_trai', 'hơn', 'trc', 'nhiều', 'á']",1
@Tardigrades-dd1bd,"Lần đầu tiên trong sự nghiệp của m , IQ m có cải thiện .. cố lên cu",,,,0,0,0,đầu_tiên sự_nghiệp m iq m cải_thiện cố cu,"['lần', 'đầu_tiên', 'trong', 'sự_nghiệp', 'của', 'm', 'iq', 'm', 'có', 'cải_thiện', 'cố', 'lên', 'cu']",2
@hehehekec3,1:25,,,,0,0,0,125,['125'],2
@NhanSippo,Nét hài của Nam rất giống Matt Rife. Idol của mình,,,,0,0,0,nét hài nam matt rife_idol,"['nét', 'hài', 'của', 'nam', 'rất', 'giống', 'matt', 'rife_idol', 'của', 'mình']",2
@TienNguyen-lb6fm,"Thích Nam lắm, có điều để ý Nam được mời vào những show có nghệ sĩ như ctr cuối năm đồ á, Nam nói ko à, ko có giao lưu vs khán giả. Muốn thấy Nam thật tự tin mạnh dạn hơn trong show cuối năm nay. Thật đấy",,,,0,0,0,nam lắm có_điều để_ý nam mời show nghệ_sĩ ctr đồ á_nam không_à không_có giao_lưu vs khán_giả nam tự_tin mạnh_dạn show đấy,"['thích', 'nam', 'lắm', 'có_điều', 'để_ý', 'nam', 'được', 'mời', 'vào', 'những', 'show', 'có', 'nghệ_sĩ', 'như', 'ctr', 'cuối', 'năm', 'đồ', 'á_nam', 'nói', 'không_à', 'không_có', 'giao_lưu', 'vs', 'khán_giả', 'muốn', 'thấy', 'nam', 'thật', 'tự_tin', 'mạnh_dạn', 'hơn', 'trong', 'show', 'cuối', 'năm', 'nay', 'thật', 'đấy']",2
@h277246,set này Nam crowd control tốt ghê,,,,0,0,0,set nam crowd control ghê,"['set', 'này', 'nam', 'crowd', 'control', 'tốt', 'ghê']",2
@NguyenTrung-md2xt,Level up!,,,,0,0,0,level up,"['level', 'up']",2
@thanhthitran6781,Nam diễn set này đỉnh quá =)),,,,0,0,0,nam diễn_set đỉnh,"['nam', 'diễn_set', 'này', 'đỉnh', 'quá']",2
@NatureAndAnimalsChannel2,xuất sắc quá! buồn là mở clip của Phương Nam ra xem,,,,0,0,0,xuất_sắc buồn clip phương nam,"['xuất_sắc', 'quá', 'buồn', 'là', 'mở', 'clip', 'của', 'phương', 'nam', 'ra', 'xem']",1
@HàMyTăng-d4b,Đỉnh,,,,0,0,0,đỉnh,['đỉnh'],2
@sangbo2408,0:35. Mình có hắt xì kì lạ hơn nữa 😂 hắt xì + Pikachu -> Hắt xì chuuuuu,😂,,,1,0,0,035 hắt xì_kì lạ hơn_nữa hắt_xì pikachu hắt_xì chuuuuu,"['035', 'mình', 'có', 'hắt', 'xì_kì', 'lạ', 'hơn_nữa', 'hắt_xì', 'pikachu', 'hắt_xì', 'chuuuuu']",1
@Tuanminhhh-03,phương nam dạo này bị mập hả a e,,,,0,0,0,phương nam dạo mập_hả a_e,"['phương', 'nam', 'dạo', 'này', 'bị', 'mập_hả', 'a_e']",2
@onelove-onepiece5696,Lượt view PN cao ngút,,,,0,0,0,lượt view pn ngút,"['lượt', 'view', 'pn', 'cao', 'ngút']",2
@trungdao5884,"Xuất ...sắc Nam ơi ❤ .thích SaìGòn Tuế
Có mấy bạn bên Acoustic q3 pk",❤,,,1,0,0,xuất_sắc nam saìgòn tuế mấy acoustic q3 pk,"['xuất_sắc', 'nam', 'ơi', 'thích', 'saìgòn', 'tuế', 'có', 'mấy', 'bạn', 'bên', 'acoustic', 'q3', 'pk']",1
@Nguoikechuyen0h,Quan trọng trong stand up comedy vẫn là cái duyên trời cho,,,,0,0,0,quan_trọng stand up comedy duyên_trời,"['quan_trọng', 'trong', 'stand', 'up', 'comedy', 'vẫn', 'là', 'cái', 'duyên_trời', 'cho']",2
@EmDawg27,set này của anh Nam đỉnh quá luonnnn,,,,0,0,0,set nam đỉnh luonnnn,"['set', 'này', 'của', 'anh', 'nam', 'đỉnh', 'quá', 'luonnnn']",2
@trangduy8662,Nam luôn rất dễ thương ☺☺!,,,,0,0,0,nam dễ_thương,"['nam', 'luôn', 'rất', 'dễ_thương']",2
@thanhdat-m1x,Nam quá hay.,,,,0,0,0,nam,"['nam', 'quá', 'hay']",2
@tuyentran9125,Duyên quá trời❤,❤,,,1,0,0,duyên trời,"['duyên', 'quá', 'trời']",1
@nobita581992,Có acoustic bar đi coi nữa kìa,,,,0,0,0,acoustic bar đi coi kìa,"['có', 'acoustic', 'bar', 'đi', 'coi', 'nữa', 'kìa']",2
@NoBSplz,PN giờ diễn cũng có nét Russell Peters phết,,,,0,0,0,pn diễn nét russell peters phết,"['pn', 'giờ', 'diễn', 'cũng', 'có', 'nét', 'russell', 'peters', 'phết']",2
@phatran-s2b,"Chia sẻ của một fan ""chưa cứng"":
+ Rõ ràng là Nam có sự ""nâng cấp"" trong cách tương tác với khán giả. Nhưng có cảm giác là ""đã có kịch bản"" trước, hy vọng là các mảng miếng trong cách tương tác cho các đối tượng khán giả khác cũng được chuẩn bị một cách đa dạng hơn.
+ Sự tương tác khán giả trong set vừa rồi cho thấy Nam củng cố hơn sự tự tin trên sân khấu. Mà phong thái của một người tự tin thì chắc chắn sẽ lôi cuốn.
+ Set vừa rồi miếng thì hay, nhưng rời rạc, chưa thành một câu chuyện. Làm set diễn có cảm giác ""giả"", vì đi kiếm từng mẩu hay nhất ráp lại chứ chẳng liên quan nhau.
+ Hy vọng sắp tới Nam đi đâu đó nhiều hơn, để ý hơn, ""bày vẽ"" hơn, rồi tự xây dựng một được một câu chuyện vừa có miếng hài vừa có tính liên kết trong câu chuyện.",,,,0,0,0,chia_sẻ fan chưa_cứng rõ_ràng nam nâng_cấp tương_tác khán_giả cảm_giác kịch_bản hy_vọng mảng miếng tương_tác đối_tượng khán_giả chuẩn_bị một_cách đa_dạng tương_tác khán_giả set vừa_rồi nam củng_cố tự_tin sân_khấu phong_thái tự_tin chắc_chắn lôi_cuốn set vừa_rồi miếng rời_rạc chưa_thành câu_chuyện set_diễn cảm_giác giả đi kiếm mẩu nhất_ráp chẳng_liên_quan hy_vọng nam đi đâu_đó để_ý bày_vẽ xây_dựng câu_chuyện miếng hài liên_kết câu_chuyện,"['chia_sẻ', 'của', 'một', 'fan', 'chưa_cứng', 'rõ_ràng', 'là', 'nam', 'có', 'sự', 'nâng_cấp', 'trong', 'cách', 'tương_tác', 'với', 'khán_giả', 'nhưng', 'có', 'cảm_giác', 'là', 'đã', 'có', 'kịch_bản', 'trước', 'hy_vọng', 'là', 'các', 'mảng', 'miếng', 'trong', 'cách', 'tương_tác', 'cho', 'các', 'đối_tượng', 'khán_giả', 'khác', 'cũng', 'được', 'chuẩn_bị', 'một_cách', 'đa_dạng', 'hơn', 'sự', 'tương_tác', 'khán_giả', 'trong', 'set', 'vừa_rồi', 'cho', 'thấy', 'nam', 'củng_cố', 'hơn', 'sự', 'tự_tin', 'trên', 'sân_khấu', 'mà', 'phong_thái', 'của', 'một', 'người', 'tự_tin', 'thì', 'chắc_chắn', 'sẽ', 'lôi_cuốn', 'set', 'vừa_rồi', 'miếng', 'thì', 'hay', 'nhưng', 'rời_rạc', 'chưa_thành', 'một', 'câu_chuyện', 'làm', 'set_diễn', 'có', 'cảm_giác', 'giả', 'vì', 'đi', 'kiếm', 'từng', 'mẩu', 'hay', 'nhất_ráp', 'lại', 'chứ', 'chẳng_liên_quan', 'nhau', 'hy_vọng', 'sắp', 'tới', 'nam', 'đi', 'đâu_đó', 'nhiều', 'hơn', 'để_ý', 'hơn', 'bày_vẽ', 'hơn', 'rồi', 'tự', 'xây_dựng', 'một', 'được', 'một', 'câu_chuyện', 'vừa', 'có', 'miếng', 'hài', 'vừa', 'có', 'tính', 'liên_kết', 'trong', 'câu_chuyện']",2
@LoiNguyen-cs3ym,ĐỈNH QUÁ 😂😂😂😂,😂😂😂😂,,,4,0,0,đỉnh,"['đỉnh', 'quá']",1
@HươngLê-h8z8x,Khoái ông nam,,,,0,0,0,khoái nam,"['khoái', 'ông', 'nam']",2
@TrungkienTran-lc7qo,Khúc 4:18 này hơi vô duyên,,,,0,0,0,khúc 418 hơi vô_duyên,"['khúc', '418', 'này', 'hơi', 'vô_duyên']",2
@Tranthanhtamfw1,"2:11 nhìn thằng đó  gay chuẩn cmnr, thẳng đâu cần trả lời :v",,,,0,0,0,211 thằng gay_chuẩn cmnr thẳng trả_lời v,"['211', 'nhìn', 'thằng', 'đó', 'gay_chuẩn', 'cmnr', 'thẳng', 'đâu', 'cần', 'trả_lời', 'v']",2
@Theoldday13,Lấy nỗi đau để thả miếng😂,😂,,,1,0,0,nỗi đau thả miếng,"['lấy', 'nỗi', 'đau', 'để', 'thả', 'miếng']",1
@justanhthu_2,Đúng là người có học tâm lí có khác😂 hiểu phụ nữ ghê 😂,😂😂,,,2,0,0,có_học tâm_lí phụ_nữ ghê,"['đúng', 'là', 'người', 'có_học', 'tâm_lí', 'có', 'khác', 'hiểu', 'phụ_nữ', 'ghê']",1
@vicxing,"cười tới nôi thương, set này anh Nam phong độ phết =))",,,,0,0,0,cười nôi thương_set nam phong_độ phết,"['cười', 'tới', 'nôi', 'thương_set', 'này', 'anh', 'nam', 'phong_độ', 'phết']",2
@HongThi-pe4cd,Em  khách có người đáng bậc cha chú không nên dùng chữ stop khi họ đang cười như vậy mâu thuẫn với mục đích talk show . Nhưng cảm ơn có những câu chuyện hài đáng yêu,,,,0,0,0,bậc cha_chú không_nên chữ stop cười như_vậy mâu_thuẫn mục_đích talk show cảm_ơn câu_chuyện hài_đáng yêu,"['em', 'khách', 'có', 'người', 'đáng', 'bậc', 'cha_chú', 'không_nên', 'dùng', 'chữ', 'stop', 'khi', 'họ', 'đang', 'cười', 'như_vậy', 'mâu_thuẫn', 'với', 'mục_đích', 'talk', 'show', 'nhưng', 'cảm_ơn', 'có', 'những', 'câu_chuyện', 'hài_đáng', 'yêu']",2
@nobitaxuka6508,Miếng cảm xúc lên nghệ quá nha Nam ơi 😂😂😂,😂😂😂,,,3,0,0,miếng cảm_xúc lên_nghệ nha nam,"['miếng', 'cảm_xúc', 'lên_nghệ', 'quá', 'nha', 'nam', 'ơi']",1
@Tony_G39,Ng Mỹ hacxi vô trong  vì lịch sự ! Họ ko muốn hơi mình văng ra ng khác ! Rat  lịch sự!,,,,0,0,0,ng mỹ_hacxi vô lịch_sự không_muốn hơi văng ng rat lịch_sự,"['ng', 'mỹ_hacxi', 'vô', 'trong', 'vì', 'lịch_sự', 'họ', 'không_muốn', 'hơi', 'mình', 'văng', 'ra', 'ng', 'khác', 'rat', 'lịch_sự']",2
@TrânLêHuyền-u5u,Yeahhhh Anh Nammmmm mãi đỉnh,,,,0,0,0,yeahhhh nammmmm mãi đỉnh,"['yeahhhh', 'anh', 'nammmmm', 'mãi', 'đỉnh']",2
@tamtranthiminh2349,"Nay Nam đẹp ra nhỉ, show này của Nam hay quá cười ná thở😂😂😂",😂😂😂,,,3,0,0,nam đẹp show nam cười_ná thở,"['nay', 'nam', 'đẹp', 'ra', 'nhỉ', 'show', 'này', 'của', 'nam', 'hay', 'quá', 'cười_ná', 'thở']",1
@quangvo8283,Văng miếng liền tục quá đỉnh nam oi,,,,0,0,0,văng miếng liền_tục đỉnh nam oi,"['văng', 'miếng', 'liền_tục', 'quá', 'đỉnh', 'nam', 'oi']",2
@ChúKey2309,Anh Nam em muốn theo anh😂anh mãi đĩnh,😂,,,1,0,0,nam anhanh mãi đĩnh,"['anh', 'nam', 'em', 'muốn', 'theo', 'anhanh', 'mãi', 'đĩnh']",1
@MinhSon-i4o,tao cười điên,,,,0,0,0,tao cười điên,"['tao', 'cười', 'điên']",2
@MinhNguyen-1212,"Set nay hay thật ngoại trừ việc Nam chọc Long trọc quá nhiều,người ngoài thấy mắc cười nhưng nếu bản thân mình là Long trọc mình sẽ thấy ko vui. Là một người hâm mộ hâm mộ Nam , hy vọng bạn sẽ ko dùng khuyết điểm của khán giả để tạo miếng như này, anh Long trọc cười ngượng trông khổ vl 😢😢",,😢😢,,0,2,0,set ngoại_trừ nam_chọc long trọc nhiềungười mắc cười bản_thân long trọc không_vui hâm_mộ hâm_mộ nam hy_vọng không_dùng khuyết_điểm khán_giả miếng long trọc cười ngượng_trông khổ vl,"['set', 'nay', 'hay', 'thật', 'ngoại_trừ', 'việc', 'nam_chọc', 'long', 'trọc', 'quá', 'nhiềungười', 'ngoài', 'thấy', 'mắc', 'cười', 'nhưng', 'nếu', 'bản_thân', 'mình', 'là', 'long', 'trọc', 'mình', 'sẽ', 'thấy', 'không_vui', 'là', 'một', 'người', 'hâm_mộ', 'hâm_mộ', 'nam', 'hy_vọng', 'bạn', 'sẽ', 'không_dùng', 'khuyết_điểm', 'của', 'khán_giả', 'để', 'tạo', 'miếng', 'như', 'này', 'anh', 'long', 'trọc', 'cười', 'ngượng_trông', 'khổ', 'vl']",0
@KongDinh,"quá đỉnh, Xuất Xuất Xuất Hóa đơn cho anh luôn em ơi. Nam ơi đỉnh quá",,,,0,0,0,đỉnh xuất xuất_xuất hóa_đơn nam đỉnh,"['quá', 'đỉnh', 'xuất', 'xuất_xuất', 'hóa_đơn', 'cho', 'anh', 'luôn', 'em', 'ơi', 'nam', 'ơi', 'đỉnh', 'quá']",2
@nguyentrungtinh1593,"Gì chứ thích thêm phần tương tác với khán giả, mà cái này phải khéo cực kỳ k là dễ phản cảm.",,,,0,0,0,tương_tác khán_giả khéo cực_kỳ không_là phản_cảm,"['gì', 'chứ', 'thích', 'thêm', 'phần', 'tương_tác', 'với', 'khán_giả', 'mà', 'cái', 'này', 'phải', 'khéo', 'cực_kỳ', 'không_là', 'dễ', 'phản_cảm']",2
@manhtiennguyen4071,Đừng lấy khiếm khuyết của người khác để làm trò cười. Đó là nguyên tắc tối thiểu. Ok!,,,,0,0,0,đừng_lấy khiếm_khuyết làm_trò cười nguyên_tắc tối_thiểu ok,"['đừng_lấy', 'khiếm_khuyết', 'của', 'người', 'khác', 'để', 'làm_trò', 'cười', 'đó', 'là', 'nguyên_tắc', 'tối_thiểu', 'ok']",2
@huynguyen-pf9bl,anh Nam biết đây là tháng 11 nên cho quả chốt phá record :') em suýt rồi nha,,,,0,0,0,nam 11 chốt phá record nha,"['anh', 'nam', 'biết', 'đây', 'là', 'tháng', '11', 'nên', 'cho', 'quả', 'chốt', 'phá', 'record', 'em', 'suýt', 'rồi', 'nha']",2
@AnhHồKỳ-i2w3t,Cười k nhặt đc mồm 😂,😂,,,1,0,0,cười không_nhặt mồm,"['cười', 'không_nhặt', 'được', 'mồm']",1
@ThuPham-ce1bn,"Phương Nam nói câu nào đắt giá câu đó, xuất sắc luôn",,,,0,0,0,phương nam câu đắt giá câu xuất_sắc,"['phương', 'nam', 'nói', 'câu', 'nào', 'đắt', 'giá', 'câu', 'đó', 'xuất_sắc', 'luôn']",1
@TTH1973,Tuyệt vời . . Phải phương nam  quê gốc Phú thọ không,,,,0,0,0,tuyệt_vời phương nam quê gốc phú_thọ,"['tuyệt_vời', 'phải', 'phương', 'nam', 'quê', 'gốc', 'phú_thọ', 'không']",1
@khoanguyen12049,cái đoạn tao rất gay nghe cười mệt thiệt 😂 Phương Nam duyên quá ❤,😂❤,,,2,0,0,đoạn tao gay_nghe cười mệt_thiệt_phương nam_duyên,"['cái', 'đoạn', 'tao', 'rất', 'gay_nghe', 'cười', 'mệt_thiệt_phương', 'nam_duyên', 'quá']",1
@Ryo.Monster102,Ảnh đụng anh long quài luôn cười ỉa😂😂😂,😂😂😂,,,3,0,0,ảnh đụng long_quài cười ỉa,"['ảnh', 'đụng', 'anh', 'long_quài', 'luôn', 'cười', 'ỉa']",1
@bxssvdrgn,méee hay qué,,,,0,0,0,méee qué,"['méee', 'hay', 'qué']",2
@LasioneKettara,"Great video, I learned so much.",,,,0,0,0,great video i learned much,"['great', 'video', 'i', 'learned', 'so', 'much']",2
@HuỳnhÂnPhan-u2t,Càng ngày ảnh càng thăng hạng về nhan sắc lẫn tiểu phẩm hài của anh😊😊😊,😊😊😊,,,3,0,0,ảnh thăng_hạng nhan_sắc lẫn tiểu_phẩm hài,"['càng', 'ngày', 'ảnh', 'càng', 'thăng_hạng', 'về', 'nhan_sắc', 'lẫn', 'tiểu_phẩm', 'hài', 'của', 'anh']",1
@QuốcCườngLê-x1h,Nam nãy diễn lên trình quá em..,,,,0,0,0,nam nãy_diễn trình,"['nam', 'nãy_diễn', 'lên', 'trình', 'quá', 'em']",2
@linhcnc,😁😁😁😁😁😁,😁😁😁😁😁😁,,,6,0,0,,[],1
@MinhNgô-z6e,Sói thật:)🐺,,,,0,0,0,sói,"['sói', 'thật']",2
@namphuc-3143,Big bang Phương Nam🎉🎉🎉,🎉🎉🎉,,,3,0,0,big bang phương nam,"['big', 'bang', 'phương', 'nam']",1
@Marykim1369,Mắc cười nhất ông tên Long mà ko có lông 😂😂😂😂,😂😂😂😂,,,4,0,0,mắc cười long không_có lông,"['mắc', 'cười', 'nhất', 'ông', 'tên', 'long', 'mà', 'không_có', 'lông']",1
@Leaf9999,Quá hay🎉,🎉,,,1,0,0,,"['quá', 'hay']",1
@Waiwai-m8e,Đang ăn cơm mà xem tới khúc cuốn muốn sặc cơm😂,😂,,,1,0,0,cơm khúc sặc_cơm,"['đang', 'ăn', 'cơm', 'mà', 'xem', 'tới', 'khúc', 'cuốn', 'muốn', 'sặc_cơm']",1
@sangngoc1997,xem mà cuốn quên cả tg,,,,0,0,0,quên tg,"['xem', 'mà', 'cuốn', 'quên', 'cả', 'tg']",2
@TuyetTran-jx6xn,Con quên đoạn ba đứng đợi đèn xanh ở ngã tư Nguyễn Biểu - Trần Hưng Đạo ổng hắt xì mà có cô kia kế bên giật mình bỏ xe đạp chạy lên lề đường luôn.,,,,0,0,0,quên đoạn đứng đợi đèn_xanh ngã tư nguyễn_biểu_trần hưng_đạo hắt_xì kia kế giật_mình xe_đạp chạy lề_đường,"['con', 'quên', 'đoạn', 'ba', 'đứng', 'đợi', 'đèn_xanh', 'ở', 'ngã', 'tư', 'nguyễn_biểu_trần', 'hưng_đạo', 'ổng', 'hắt_xì', 'mà', 'có', 'cô', 'kia', 'kế', 'bên', 'giật_mình', 'bỏ', 'xe_đạp', 'chạy', 'lên', 'lề_đường', 'luôn']",2
@HoaNguyen-on9ri,Há..há…há…❤,❤,,,1,0,0,háháhá,['háháhá'],1
@yennhiphamnguyen8602,"Đàn bà ai vậy, đàn ông ai biết.",,,,0,0,0,đàn_bà đàn_ông,"['đàn_bà', 'ai', 'vậy', 'đàn_ông', 'ai', 'biết']",2
@thtjv,"Vô tình thấy trên Utube, lần đầu xem hài độc thoại này. Bạn Nam này có duyên thật, dễ thương. Nói câu nào khán giả cười câu đó là nhất rồi. 
Thấy vài bạn cmt so sánh ndung blabla...qtrong hoá quá! 
Qtrong nhất là đem tiếng cười, vẫn có ndung truyền tải thông điệp mà.",,,,0,0,0,vô_tình utube đầu hài độc_thoại nam duyên_thật dễ_thương câu khán_giả cười câu cmt so_sánh ndung blablaqtrong hóa qtrong đem tiếng cười ndung truyền_tải thông_điệp,"['vô_tình', 'thấy', 'trên', 'utube', 'lần', 'đầu', 'xem', 'hài', 'độc_thoại', 'này', 'bạn', 'nam', 'này', 'có', 'duyên_thật', 'dễ_thương', 'nói', 'câu', 'nào', 'khán_giả', 'cười', 'câu', 'đó', 'là', 'nhất', 'rồi', 'thấy', 'vài', 'bạn', 'cmt', 'so_sánh', 'ndung', 'blablaqtrong', 'hóa', 'quá', 'qtrong', 'nhất', 'là', 'đem', 'tiếng', 'cười', 'vẫn', 'có', 'ndung', 'truyền_tải', 'thông_điệp', 'mà']",2
@aimy1212,Ông Long xem set này cười đủ tiền vé luôn,,,,0,0,0,long set cười tiền vé,"['ông', 'long', 'xem', 'set', 'này', 'cười', 'đủ', 'tiền', 'vé', 'luôn']",2
@VietHoangHT,"Hay nhưng phần nói về comment đcm thì không ổn Nam nhé, chuyện đó không thể mang ra giỡn",,,,0,0,0,comment_đcm không_ổn nam không_thể giỡn,"['hay', 'nhưng', 'phần', 'nói', 'về', 'comment_đcm', 'thì', 'không_ổn', 'nam', 'nhé', 'chuyện', 'đó', 'không_thể', 'mang', 'ra', 'giỡn']",2
@TinaHoang-g4z,tui cười điên lun á :))))),,,,0,0,0,tui cười điên_lun,"['tui', 'cười', 'điên_lun', 'á']",2
@thanhdungtran2502,Lâu thiệt lâu mới gặp lại Phương Nam. Cố gắng sx show về lại ĐN lần nữa nha SG Tếu,,,,0,0,0,thiệt_lâu phương nam cố_gắng sx show đn nha sg tếu,"['lâu', 'thiệt_lâu', 'mới', 'gặp', 'lại', 'phương', 'nam', 'cố_gắng', 'sx', 'show', 'về', 'lại', 'đn', 'lần', 'nữa', 'nha', 'sg', 'tếu']",2
@quangtruongvy6399,Xuất hoá đơn kiểu đó nhân viên nó đẻ luôn đó ba :))),,,,0,0,0,xuất hóa_đơn kiểu nhân_viên đẻ,"['xuất', 'hóa_đơn', 'kiểu', 'đó', 'nhân_viên', 'nó', 'đẻ', 'luôn', 'đó', 'ba']",2
@Hwx0suy,a Nam h đẹp zai v vs trông h đô vcl,,,,0,0,0,a nam đẹp zai vs trông đô vcl,"['a', 'nam', 'giờ', 'đẹp', 'zai', 'vậy', 'vs', 'trông', 'giờ', 'đô', 'vcl']",2
@nguyendangduclinh124,tóc ngắn dễ thương zậy. Muốn nghe tóc ngắn hắt xì :v,,,,0,0,0,tóc ngắn dễ_thương zậy tóc ngắn hắt_xì v,"['tóc', 'ngắn', 'dễ_thương', 'zậy', 'muốn', 'nghe', 'tóc', 'ngắn', 'hắt_xì', 'v']",2
@phuongpipiNguyen,tích phước cả năm diễn show này cạn phước :))),,,,0,0,0,tích phước diễn show cạn phước,"['tích', 'phước', 'cả', 'năm', 'diễn', 'show', 'này', 'cạn', 'phước']",2
@lienpham-ve9rp,cả team tui coi mỗi ô nam . ng khác là lướt qua hết😂,😂,,,1,0,0,team tui coi ô nam ng lướt,"['cả', 'team', 'tui', 'coi', 'mỗi', 'ô', 'nam', 'ng', 'khác', 'là', 'lướt', 'qua', 'hết']",1
@Minhbảo156,Ở 11:30 ai quen thế m.n,,,,0,0,0,1130 quen mn,"['ở', '1130', 'ai', 'quen', 'thế', 'mn']",2
@KiGimart,hg,,,,0,0,0,hg,['hg'],2
@HoangPhuc994,Nam tập gym đúng hong,,,,0,0,0,nam tập gym hong,"['nam', 'tập', 'gym', 'đúng', 'hong']",2
@ngocnguyenanh4888,quáooooooooo.....anh Nam càng ngày càng mặn luôn á. Sẽ sắp xếp đi coi show có anh ạ 😆😆😆,,,,0,0,0,quáoooooooooanh nam càng_ngày_càng mặn sắp_xếp đi coi show,"['quáoooooooooanh', 'nam', 'càng_ngày_càng', 'mặn', 'luôn', 'á', 'sẽ', 'sắp_xếp', 'đi', 'coi', 'show', 'có', 'anh', 'ạ']",2
@rophuoc6180,👍,👍,,,1,0,0,,[],1
@MaiMai-gi8kc,"Đoạn cuối cắt shorst xem cho đã, xem đj xem lại vẫn thấy hài😂😂😂",😂😂😂,,,3,0,0,đoạn cắt shorst đj xem_lại hài,"['đoạn', 'cuối', 'cắt', 'shorst', 'xem', 'cho', 'đã', 'xem', 'đj', 'xem_lại', 'vẫn', 'thấy', 'hài']",1
@-BuiTanphat-fe2bp,Cạn Lời,,,,0,0,0,cạn,"['cạn', 'lời']",2
@lapxuan9510,😆😆,,,,0,0,0,,[],2
@tranthong7337,nhạt dần,,,,0,0,0,nhạt dần,"['nhạt', 'dần']",2
@nguoitudovn,"Set diễn quá hay nhưng sao mỗi lần mình nghe Nam nói tục mình lại ko thích nhỉ, lâu lâu 1-2 từ cần thiết trong 1set thì ổn chứ dùng nhiều quá kiểu thô á, có ai giống mình ko hay mình già rồi 😅😅😅",😅😅😅,,,3,0,0,set diễn nam nói_tục không_thích lâu_lâu 12 cần_thiết 1 set ổn kiểu thô_á không_hay già,"['set', 'diễn', 'quá', 'hay', 'nhưng', 'sao', 'mỗi', 'lần', 'mình', 'nghe', 'nam', 'nói_tục', 'mình', 'lại', 'không_thích', 'nhỉ', 'lâu_lâu', '12', 'từ', 'cần_thiết', 'trong', '1', 'set', 'thì', 'ổn', 'chứ', 'dùng', 'nhiều', 'quá', 'kiểu', 'thô_á', 'có', 'ai', 'giống', 'mình', 'không_hay', 'mình', 'già', 'rồi']",1
@baochau3063,Coi ông Nam là đỉnh nhất,,,,0,0,0,coi nam đỉnh,"['coi', 'ông', 'nam', 'là', 'đỉnh', 'nhất']",2
